# frame times for dvs_video.avi
# frame# time(s)
0	  0.015926
1	  0.025926
2	  0.035926
3	  0.045926
4	  0.055926
5	  0.065926
6	  0.075926
7	  0.085926
8	  0.095926
9	  0.105926
10	  0.115926
11	  0.125926
12	  0.135926
13	  0.145926
14	  0.155926
15	  0.165926
16	  0.175926
17	  0.185926
18	  0.195926
19	  0.205926
20	  0.215926
21	  0.225926
22	  0.235926
23	  0.245926
24	  0.255926
25	  0.265926
26	  0.275926
27	  0.285926
28	  0.295926
29	  0.305926
30	  0.315926
31	  0.325926
32	  0.335926
33	  0.345926
34	  0.355926
35	  0.365926
36	  0.375926
37	  0.385926
38	  0.395926
39	  0.405926
40	  0.415926
41	  0.425926
42	  0.435926
43	  0.445926
44	  0.455926
45	  0.465926
46	  0.475926
47	  0.485926
48	  0.495926
49	  0.505926
50	  0.515926
51	  0.525926
52	  0.535926
53	  0.545926
54	  0.555926
55	  0.565926
56	  0.575926
57	  0.585926
58	  0.595926
59	  0.605926
60	  0.615926
61	  0.625926
62	  0.635926
63	  0.645926
64	  0.655926
65	  0.665926
66	  0.675926
67	  0.685926
68	  0.695926
69	  0.705926
70	  0.715926
71	  0.725926
72	  0.735925
73	  0.745925
74	  0.755925
75	  0.765925
76	  0.775925
77	  0.785925
78	  0.795925
79	  0.805925
80	  0.815925
81	  0.825925
82	  0.835925
83	  0.845925
84	  0.855925
85	  0.865925
86	  0.875925
87	  0.885925
88	  0.895925
89	  0.905925
90	  0.915925
91	  0.925925
92	  0.935925
93	  0.945925
94	  0.955925
95	  0.965925
96	  0.975925
97	  0.985925
98	  0.995925
99	  1.005925
100	  1.015925
101	  1.025925
102	  1.035925
103	  1.045925
104	  1.055925
105	  1.065925
106	  1.075925
107	  1.085925
108	  1.095925
109	  1.105925
110	  1.115925
111	  1.125925
112	  1.135925
113	  1.145925
114	  1.155925
115	  1.165925
116	  1.175925
117	  1.185925
118	  1.195925
119	  1.205925
120	  1.215925
121	  1.225925
122	  1.235925
123	  1.245925
124	  1.255925
125	  1.265925
126	  1.275925
127	  1.285925
128	  1.295925
129	  1.305925
130	  1.315925
131	  1.325925
132	  1.335925
133	  1.345925
134	  1.355925
135	  1.365925
136	  1.375925
137	  1.385925
138	  1.395925
139	  1.405925
140	  1.415925
141	  1.425925
142	  1.435925
143	  1.445925
144	  1.455925
145	  1.465925
146	  1.475925
147	  1.485925
148	  1.495925
149	  1.505925
150	  1.515925
151	  1.525925
152	  1.535925
153	  1.545925
154	  1.555925
155	  1.565925
156	  1.575925
157	  1.585925
158	  1.595925
159	  1.605925
160	  1.615925
161	  1.625925
162	  1.635925
163	  1.645925
164	  1.655925
165	  1.665925
166	  1.675925
167	  1.685925
168	  1.695925
169	  1.705925
170	  1.715925
171	  1.725925
172	  1.735925
173	  1.745925
174	  1.755925
175	  1.765925
176	  1.775925
177	  1.785925
